id;Logo;Name;Adressen;Artikel;Aktiviert
228;;4BRO;;;1
138;;85;;;1
169;;"A Trade Mark";;;1
1;;"A Trade Mark";;;1
135;;A&W;;;1
2;;A+;;;1
3;;ABC;;;1
4;;"ADA RASA";;;1
217;;AGEL;;;1
5;;AJINOMOTO;;;1
6;;AJINOTAKARA;;;1
7;;ALESIE;;;1
8;;AMBITION;;;1
174;;"ANNE WILSON";;;1
9;;ARDANI;;;1
162;;ARDANI;;;1
10;;AROY-D;;;1
152;;"ASIA FRESH";;;1
11;;"ASIAN BOY";;;1
12;;"ASIAN QUEEN";;;1
13;;ASLI;;;1
213;;Astor;;;1
14;;"ATOM BULAN";;;1
233;;AYUKO;;;1
52;;BAHAGIA;;;1
15;;BALANDBAMBU;;;1
16;;BALPIRIK;;;1
17;;"BAMBOE ";;;1
18;;BANGO;;;1
19;;"BANH TRANG VIET NAM";;;1
20;;BDMP;;;1
21;;BELACAN;;;1
22;;BENG-BENG;;;1
218;;BERLIAN;;;1
148;;Bet's;;;1
23;;BETTER;;;1
53;;"BINTANG TIMBANGAN";;;1
24;;"BINTANG TIMUR";;;1
25;;"BLUE BAND";;;1
54;;BOGASARI;;;1
26;;BRIGHT;;;1
27;;"Bu Tjitro";;;1
28;;Butterfly;;;1
29;;"CAKRA KEMBAR";;;1
55;;"CAP ATOOM BULAN";;;1
30;;"CAP BOENGA";;;1
32;;"CAP IBU";;;1
33;;"CAP KLENTENG";;;1
160;;"Cap Klenteng";;;1
34;;"CAP LANG";;;1
