Name;Verkaufte Menge;Gesamt
RUBICON;1;1.67
S&B;1;1.86
CHIU CHOW;1;1.86
A+;1;1.90
GEISHA;2;2.19
SPRING HOME;1;2.62
SAJIKU;3;2.80
Monde;1;2.80
YUM-YUM;10;3.64
AJINOMOTO;4;4.45
COCO XIM;2;5.40
TWIN ELEPHANTS;3;5.60
ECUADOR TROPICAL GOURMET;6;5.60
AGEL;3;5.61
MOGU-MOGU;6;6.76
JHFOODS;3;7.01
MONIKA;3;7.54
Tamarin;5;9.37
KEPALA DJENGGOT;4;9.43
BANH TRANG VIET NAM;4;10.28
PHILIPPINE;5;12.57
Pigeon Brand;7;13.02
FARMER;11;13.85
INDOSAR;11;13.87
85;4;15.87
SQUID BRAND;9;16.41
LONGEVITY;9;16.75
TRISTAR;1;16.81
LONGKOU;10;17.36
Long Life;12;17.51
KIKKOMAN;6;18.17
TOTOLE;8;18.69
SWALLOW SAILING;11;19.06
CAP KLENTENG;11;20.46
COCK BRAND;8;20.64
GOLDEN CHEF;12;20.82
RHEUMASON;9;21.10
SMILING FISH;20;22.29
TRS;18;23.31
MAE PLOY;9;24.46
LIGO;23;25.36
Butterfly;14;26.17
MAEKRUA;14;29.34
FRISIAN FLAG;11;29.90
OH AIK GUAN;10;30.14
HEALTHY BOY BRAND;13;31.15
CERES;9;33.64
Bet's;5;35.05
ORCHID;2;35.12
SINA;45;35.63
COCON;18;36.11
Nongshim;38;36.40
KTC;10;37.36
BETTER;14;39.29
THAI DANCER;24;40.49
CAP PAYUNG;20;40.56
MALAFISH;30;40.73
DUA KEMIRI;12;41.29
BINTANG TIMBANGAN;17;41.43
WIJSMAN;7;41.67
KUDA MENJANGAN;38;42.26
ADA RASA;16;42.76
KOPIKO;24;44.81
MEGA;29;47.49
AROY-D;23;48.94
GIJU;29;49.27
MERBABU;16;53.59
MORJON;29;55.34
NORTH SOUTH;19;56.73
N/A;7;59.87
TPS Food;105;61.40
PINDAKAAS;24;63.27
SEDAP WANGI;17;63.53
LEMONILO;73;64.81
CAP RATU;20;65.42
SUN CLAD;27;69.81
Mutiara SK;10;75.53
CAP BOENGA;33;84.66
MUNIK;24;89.50
Nutrijell;106;91.57
GOLDEN TURTLE;41;93.39
BERLIAN;23;94.23
INDOFOOD;68;95.33
KAPAL API;45;96.02
WAI WAI;69;99.90
RENUKA;36;101.88
SAORI;31;101.96
PONDOK LIMPUNG;18;102.26
ENERGEN;27;115.71
ROYCO;44;123.65
BOGASARI;31;130.63
UDANG MAS;80;135.93
ASIAN BOY;45;142.72
JEFI;53;146.68
JAWA;26;149.00
H&S;88;150.96
SARIWANGI;67;162.06
X.O;76;163.20
INDOCAFE;82;163.38
INDOLAN;25;166.26
Astor;63;167.76
MAYORA;115;182.12
CHAOKOH;101;184.37
WIND MILL;140;186.45
ASLI;103;188.50
CAP ATOOM BULAN;149;196.55
TIGA RASA;110;205.24
CAP TAWON;38;219.61
ARDANI;99;243.69
CAP WAYANG;63;248.21
ROYAL TIGER;73;261.55
SRUUT;133;266.86
SWALLOW GLOBE;215;267.63
HISAMITSU;129;273.92
JEENY'S;129;275.00
MASAKO;79;287.09
BAHAGIA;56;289.32
BALPIRIK;141;316.03
Nivo;191;332.57
BDMP;85;341.05
KARA;223;355.06
PONDAN;115;363.67
LUWAK;220;371.98
MORISCA;116;386.56
TONG TJI;159;450.69
CAP IBU;136;458.72
IDN.CO;56;492.10
LUCULLUS;106;514.35
INTRA;135;520.92
RAPINDO;209;556.39
BENG-BENG;166;565.61
SAMYANG;462;600.07
MAICIH;316;800.51
BLUE BAND;295;917.46
GARUDA;389;928.26
TJIN TJAU;294;938.54
KUSUKA;444;1024.13
CAP LANG;263;1087.36
KOEPOE-KOEPOE;770;1148.11
MARJAN;292;1260.47
DUA BELIBIS;591;1522.91
SOSRO;1396;1583.00
DUA KELINCI;1436;1675.13
KOBE;1155;2002.08
PRIMA TASTE;969;2003.32
FINNA;689;2618.27
KARANGSARI;1525;2627.27
BAMBOE ;2570;2767.45
INDOMIE;3689;3058.28
BANGO;928;3561.52
NESIA;1690;4895.57
ABC;2077;5854.85
SIDOMUNCUL;1408;6313.74
